Time,Australia [AUS],Austria [AUT],Belgium [BEL],Canada [CAN],China [CHN],Colombia [COL],Denmark [DNK],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],India [IND],Ireland [IRL],Italy [ITA],Japan [JPN],Mexico [MEX],Netherlands [NLD],Norway [NOR],Portugal [PRT],ROW,"Korea, Rep. [KOR]",Spain [ESP],Sweden [SWE],United Kingdom [GBR],United States [USA]
1972,0.8386978073,23.1153333323,44.0145833323,0.9899333325,2.2450669559,21.8656416657,6.9492916657,4.1463333326,5.0445445156,3.1886416657,30.000300003,7.5944683739,0.4003904615,583.2174999994,303.172499999,0.012500023,3.209499999,6.5882491723,27.0534166665,,392.8941666658,64.2714166659,4.7624166657,0.4003904615,1
1973,0.7034971016,19.5799999991,38.976499999,1.0000833323,1.9894159741,23.6369833323,6.049499999,3.8211666659,4.452779674,2.6725999991,29.6251500076,7.7420385621,0.4081709453,582.9958333319,271.7016666661,0.0124999519,2.7955499991,5.7658333323,24.5151666664,,398.3216666658,58.2600833323,4.367249999,0.4081709453,1
1974,0.6966658686,18.692499999,38.951499999,0.9780333323,1.961199999,26.064124999,6.094899999,3.7737499992,4.8096184729,2.587749999,30.000300003,8.1016032272,0.4277564397,650.3433333318,292.0824999993,0.0124999689,2.6883833323,5.5397083323,25.4081666657,,404.4724999997,57.686499999,4.439424999,0.4277564397,1
1975,0.763871249,17.4167499992,36.7789166657,1.0171583328,1.859799999,30.9289416657,5.746149999,3.6786666659,4.2877995154,2.4602916661,32.051325,8.3758919457,0.4520411657,652.849166666,296.7874999992,0.0125,2.5289916658,5.2269416657,25.552749999,,484,57.4069166657,4.1521916657,0.4520411657,1
1976,0.8182840823,17.9396666658,38.6051666657,0.9860249991,1.941399999,34.693924999,6.045024999,3.8644166659,4.8028783632,2.5179999991,36.5175833323,8.9604127281,0.5565098323,832.3349999997,296.5524999992,0.01542585,2.6439416657,5.4565166657,30.2290833326,,484,66.9029166661,4.3558916657,0.5565098323,1
1977,0.901824999,16.526916666,35.842749999,1.0634499994,1.857823802,36.7748666657,6.0031916657,4.0294166659,4.9051733225,2.3221833324,36.8384166657,8.7385761713,0.573271999,882.3883333313,268.5099999993,0.0225728667,2.4542499991,5.323499999,38.276949999,,484,75.9618333324,4.4816416657,0.573271999,1
1978,0.873659249,14.5216666658,31.4920833323,1.1406749993,1.683599999,39.0946416657,5.514624999,4.1173333326,4.5130999993,2.0086249992,36.7454166657,8.1928403484,0.5215045823,848.6633333309,210.441666666,0.0227672833,2.1635833326,5.242249999,43.9373333326,,484,76.6678333328,4.518474999,0.5215045823,1
1979,0.8946409157,13.3674999994,29.3186666657,1.1714249995,1.554999999,42.549774999,5.2609583323,3.8953333326,4.2544166661,1.8328833325,37.0384166657,8.1257909464,0.4885948741,830.8616666659,219.1399999993,0.0228053833,2.0059916658,5.0640666657,48.9234666657,,484,67.1249999996,4.2870833323,0.4721811657,1
1980,0.8782443323,12.9379999991,29.2416666658,1.169216666,1.498399999,47.2803083324,5.6359416657,3.7300833325,4.2255749991,1.8176666658,42.6165833323,7.8629447011,0.4866452768,856.4474999974,226.7408333328,0.0229510083,1.9881166659,4.939224999,50.0621333323,,607.4324999993,71.7019166659,4.229574999,0.430294999,1
1981,0.8702145823,15.9268333323,37.1292499992,1.1989083326,1.7045333325,54.490549999,7.1233666657,4.3152499992,5.4346083326,2.2599999991,55.4084166657,8.6585228171,0.6212980669,1136.7649999996,220.5358333328,0.0245146,2.4951999991,5.7395083323,61.5463749993,,681.0283333318,92.3218333325,5.0634416657,0.4976413323,1
1982,0.9858628323,17.0592499992,45.6905833323,1.2337333327,1.8925416658,64.0847166658,8.3324416662,4.8204166659,6.5720999991,2.4265916658,66.8031666658,9.4551319335,0.704561636,1352.5099999981,249.0766666658,0.0564017,2.6702083324,6.4540333323,79.4733333328,,731.0841666659,109.8591666658,6.2826083323,0.5724468323,1
1983,1.1100149992,17.9633333325,51.1316666658,1.2324166657,1.9756749992,78.8542999996,9.1449916658,5.5700833327,7.6212916658,2.5532583324,88.0642499995,10.098898244,0.8046779227,1518.8483333328,237.5116666661,0.1200935833,2.854124999,7.2963666657,110.7798333326,,775.7483333313,143.4299166663,7.6671083323,0.6597245823,1
1984,1.1395191659,20.0090833327,57.7839166664,1.2950666663,2.3200416663,100.8172416663,10.3565916663,6.0099999998,8.7390999996,2.8459416662,112.716583333,11.3625833327,0.9225534996,1756.9608333318,237.5224999993,0.1678275833,3.2086833329,8.1614583326,146.3903333329,,805.9758333323,160.7609999997,8.2717999994,0.7518066663,1
1985,1.4318949995,20.6894999998,59.378,1.3654833329,2.9366583333,142.3116666664,10.5963916664,6.1978958332,8.9852249998,2.9439666665,138.119083333,12.3687499996,0.9456149999,1909.439166664,238.5358333328,0.2568715833,3.3214,8.5972333331,170.3946666665,,870.0199999985,170.0440833332,8.6039249997,0.7792459998,1
1986,1.4959741664,15.2671333333,44.6719166667,1.3894999998,3.4527916666,194.2614166667,8.0909916666,5.06952,6.9260916667,2.1714833331,139.9811666666,12.6108333333,0.7431283332,1490.8099999988,168.5198333331,0.6117725833,2.4500249999,7.3947416667,149.58675,,881.4541666663,140.0483754422,7.1235833333,0.6821973333,1
1987,1.42818,12.6425,37.3340833333,1.3259916667,3.7221,242.6075,6.8403166667,4.395565,6.0107083333,1.7973916667,135.4295,12.9615,0.6729166667,1296.07,144.6375,1.3781825,2.0257,6.73745,140.8824166667,,822.5675,123.4783333333,6.3404416667,0.6119265,1
1988,1.2799083333,12.3476666667,36.7683333333,1.2307083333,3.7221,299.1738333333,6.731525,4.1828333333,5.9569416667,1.756225,141.8605,13.9170833333,0.6564675,1301.6275,128.1516666667,2.273105,1.9765833333,6.5169833333,143.9539166667,,731.4683333333,116.4868333333,6.12715,0.5621701667,1
