"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Australia","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1960","10","Australian dollar","1968","Fiscal year beginning 1 July","317000000","",""
"Australia","2.1","Industries","Plus: Statistical discrepancy","","1960","1000","Australian dollar","2008","Fiscal year beginning 1 July","-255000000","",""
"Australia","2.1","Industries","Plus: Statistical discrepancy","","1960","300","Australian dollar","1993","Fiscal year beginning 1 July","-210000000","",""
"Australia","2.1","Industries","Plus: Statistical discrepancy","","1960","200","Australian dollar     ","1993","Fiscal year beginning 1 July","-268000000","",""
"Australia","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1960","1000","Australian dollar","2008","Fiscal year beginning 1 July","17581000000","",""
"Australia","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1960","300","Australian dollar","1993","Fiscal year beginning 1 July","17743000000","",""
"Australia","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1960","200","Australian dollar     ","1993","Fiscal year beginning 1 July","17218000000","",""
"Australia","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1960","10","Australian dollar","1968","Fiscal year beginning 1 July","15208000000","",""
"Austria","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1960","10","Austrian schilling","1968","Western calendar year","18020000000","",""
"Austria","2.1","Industries","Mining and quarrying","C","1960","10","Austrian schilling","1968","Western calendar year","2150000000","",""
"Austria","2.1","Industries","Manufacturing","D","1960","10","Austrian schilling","1968","Western calendar year","57540000000","",""
"Austria","2.1","Industries","Electricity, gas and water supply","E","1960","10","Austrian schilling","1968","Western calendar year","4480000000","",""
"Austria","2.1","Industries","Construction","F","1960","10","Austrian schilling","1968","Western calendar year","12320000000","",""
"Austria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1960","10","Austrian schilling","1968","Western calendar year","25290000000","",""
"Austria","2.1","Industries","Transport, storage and communications","I","1960","10","Austrian schilling","1968","Western calendar year","9850000000","",""
"Austria","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1960","10","Austrian schilling","1968","Western calendar year","10150000000","",""
"Austria","2.1","Industries","Public administration and defence; compulsory social security","L","1960","10","Austrian schilling","1968","Western calendar year","16120000000","",""
"Austria","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1960","10","Austrian schilling","1968","Western calendar year","4700000000","",""
"Austria","2.1","Industries","Private households with employed persons","P","1960","10","Austrian schilling","1968","Western calendar year","1560000000","",""
"Austria","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1960","10","Austrian schilling","1968","Western calendar year","162180000000","",""
"Austria","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1960","10","Austrian schilling","1968","Western calendar year","3730000000","",""
