countrya,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,1184.95263672,1399.81933594,-865.748046875,446.6875,548.109375,-429.256835938,-930.739257812,926.625976562,888.213867188,-2518.75195312,-2826.77050781,-1945.69726562,-2706.11230469,-4294.00097656,-5668.46289062,-4636.97265625,-5591.66210938,-9582.54101562,-8060.47070312,-7458.30078125,-8705.17773438,-10395.9921875,-13446.5839844,-16679.9726562,-15025.0195312,-14019.6484375,-17806.2851562,-20933.34375,-16187.1796875,-9553.4375,-17386.1992188,-27747.4453125,-32341.8671875,-37473.6171875,-35803.171875,-41659.7734375
Austria,-1239.140625,-1559.34814453,-1321.94335938,-1588.86816406,-2652.96435547,-4077.52441406,-2778.95800781,-3090.54003906,-4098.04003906,-2421.25,-1497.36621094,-1444.04785156,-1147.06640625,-828.37109375,-2104.45898438,-2754.0703125,-5240.34179688,-5462.8984375,-7855.98046875,-6945.98828125,-7143.2578125,-6697.96875,-9453.5,-13896.5390625,-13160.4492188,-10791.7265625,-10860.4921875,-9345.94921875,-10877.0664062,-7896.5,-5302.05078125,-10083.3671875,-10229.8828125,-5476.5078125,263.484375,22.75
Belgium and Luxembourg,1031.62402344,1021.68164062,1816.17578125,271.818359375,-721.353515625,-2104.06640625,-2606.53125,-2240.15625,-2771.08984375,-1053.6953125,-77.09765625,412.8359375,1716.2890625,3454.7734375,4049.14453125,3813.4296875,10696.1171875,10229.6328125,9431.5625,8292.921875,13603.578125,1136.5546875,5295.765625,1226.234375,-4016.1875,-11969.359375,-20596.8125,-26120.5,-32059.09375,-32546.75,-43197.4375,-52306.15625,-60422.5,-58826.828125,-58257.765625,-70379.625
Canada,-724.241210938,-1249.51367188,-3450.9609375,-4182.23632812,-3436.88476562,-1556.609375,5330.4296875,2611.2578125,7684.94921875,5102.96875,11183.9453125,8199.046875,9391.5625,6422.796875,2039.34375,2331.3515625,-3079.6171875,3927.7890625,6704.0390625,3906.0703125,6764.7109375,8775.7890625,13347.796875,22190.53125,27247.4375,14230.78125,10939.625,18908.515625,28029.890625,31733.53125,19301.3125,18006.0,24122.390625,19787.375,2988.8125,-2165.8125
China,1279.08178711,1581.60693359,57.6538085938,-73.5903320312,858.182617188,809.189453125,2648.63085938,1870.59472656,2096.29492188,6504.94042969,7754.50878906,5376.35742188,-612.404296875,-4921.50390625,72.236328125,-905.328125,1814.67578125,15442.109375,35321.7734375,47776.3515625,57309.1171875,67238.140625,86667.9140625,113568.789062,130743.039062,161673.171875,163554.25,178984.625,222310.921875,220503.453125,248890.40625,291190.625,393846.0,530691.25,675815.125,756916.125
Colombia,363.128540039,582.512451172,488.095581055,874.170043945,1283.48803711,2091.70703125,2535.82202148,2975.48364258,2338.62402344,-6.13037109375,-249.301757812,-108.141601562,783.53125,1161.06591797,3775.44824219,1772.57226562,903.667480469,906.409667969,545.677734375,1567.171875,435.573730469,-2394.00927734,-2357.35546875,-2447.72949219,-3551.79101562,-3541.69628906,-3246.35742188,-1109.97265625,-1287.8984375,-2851.14941406,-2576.00585938,-2907.52832031,-3418.82421875,-4076.77832031,-7133.39648438,-9080.77929688
Denmark,-418.314453125,-1289.79541016,-991.435546875,-669.613769531,-2279.21777344,-1893.25390625,-807.299804688,-1073.70800781,962.900390625,1720.49316406,1639.9765625,1859.36328125,1387.07226562,676.330078125,-877.525390625,541.22265625,1321.43554688,2664.859375,4040.38476562,4342.22070312,6221.20507812,1132.109375,2764.79101562,1581.0,2705.2421875,-836.1640625,-3008.921875,-1489.33203125,-2534.5546875,212.59375,-78.546875,-257.55078125,-1643.3359375,392.328125,-4059.0546875,-9764.6875
Finland,219.689208984,257.124511719,277.739746094,-561.070800781,434.765136719,1443.24365234,2450.15087891,2753.22949219,2489.66015625,3751.59179688,3273.01464844,3043.71386719,3419.72949219,3888.96484375,3300.65234375,2431.57226562,3925.15234375,1787.6328125,3518.60351562,4828.3203125,6693.17382812,8782.76074219,7713.27148438,9208.11914062,9663.8046875,10024.5253906,9581.39257812,11668.6484375,13008.3867188,12663.6191406,11217.8515625,10162.6953125,12189.1171875,14414.328125,17320.09375,16458.9140625
France,259.595703125,-31.26953125,627.109375,5166.703125,-229.54296875,1124.05078125,2969.96875,1990.8984375,-194.7265625,3961.9609375,-257.078125,2197.125,4471.703125,3037.4921875,-4242.5625,-10785.171875,-8102.859375,-7847.484375,-9727.515625,-1983.21875,4719.828125,6515.09375,731.28125,-802.890625,4979.484375,15417.625,8655.5625,11242.03125,-4226.03125,8514.0,9286.40625,5013.6875,1357.21875,-13130.625,-8624.9375,-27243.0625
Germany,9878.5703125,17942.1132812,30629.125,28050.2617188,27198.6054688,28461.78125,34472.296875,36405.09375,40570.953125,45454.4609375,51800.8671875,44141.6875,43935.0703125,53318.3125,66358.921875,75435.84375,80059.09375,76340.140625,64789.40625,16003.875,15786.6875,51995.5625,46402.90625,73376.0,88301.1875,100080.5,89536.40625,91655.53125,113307.90625,102969.09375,137600.71875,189982.9375,247040.0,229919.5,232872.4375,347316.125
