country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0009032083378566676,0.0009221680049530641,0.001047658247457488,0.0010529222152949296,2.2045851087e-314,0.0,-2.055988387643257,-0.5708252519246261,-1.4851631357186428
Austria,0.0005939656663081959,0.0009742717797032096,0.0006947900891334671,0.0018159207541521604,2.204585243e-314,0.0,-39.03491010597326,-115.07370821725134,76.03879811127808
Belgium and Luxembourg,0.001013115638216188,0.00301025020259608,0.0011217426698713088,0.004336960186170729,2.1298396285e-314,0.0,-66.34447072397957,-106.80897931761864,40.46450859363906
Canada,0.0005982799665307758,0.0021996744447511916,0.0010706649723616036,0.003268983101157575,2.204585512e-314,0.0,-72.80143123186359,-99.93834015035924,27.136908918495628
China,0.006226488379480086,0.006150259938773766,0.007008714606361753,0.0069804761734978335,2.1298396285e-314,0.0,1.2394344542373623,0.4591421036677368,0.7802923505696255
Colombia,0.001098405615596285,0.0019532436848590487,0.0025045897795234313,0.0037742411222994304,2.204585646e-314,0.0,-43.76504969089154,-65.00219878440926,21.23714909351772
Denmark,0.0004438147103223551,0.0019788816822116128,0.000480892937746212,0.0012831758920390684,2.2045857806e-314,0.0,-77.57244840296138,-40.54223966519408,-37.03020873776731
Finland,0.0006366040955250578,0.0009953553180026037,0.0010006536526822552,0.0016650091806531466,2.2045861837e-314,0.0,-36.04252833023065,-66.74556471994994,30.70303638971927
France,0.0001970365313399828,0.00026312437048043235,0.00025924888097382455,0.00018965742006608812,2.1298396285e-314,0.0,-25.11657852892204,26.448124429018524,-51.56470295794057
Germany,0.00024117174430455775,0.0005180538855558167,0.00043065578045243836,0.000686057327115828,2.204586318e-314,0.0,-53.446590976572615,-49.30018937882707,-4.146401597745558
Greece,0.00029621953388217845,0.0003799135618648421,0.00044192167158226106,0.0004076735873922098,2.1298396285e-314,0.0,-22.029755287451042,9.014704297983275,-31.044459585434332
India,0.0010174861561606688,0.0012185765288491746,0.0008637412777616097,0.0009421479043613702,2.204586587e-314,0.0,-16.50207171464363,-6.434280059029845,-10.067791655613796
Ireland,0.000978512681240697,0.0025541897453033695,0.0020548929733227765,0.003836017742691851,2.212697714e-314,0.0,-61.68989860522379,-69.73345549774433,8.043556892520536
Italy,0.00019092214217431738,0.0002632671656975036,0.00018419943039275414,0.00012669724355503196,2.2126978484e-314,0.0,-27.479698553184303,21.841761651277366,-49.32146020446167
Japan,0.0002982448150512189,0.00030569367951638517,0.00022313761479298298,0.00019882184240116045,2.1298396285e-314,0.0,-2.436708693797832,7.954293471258767,-10.3910021650566
Mexico,0.0010536575632092771,0.0024222532857129794,0.005229128020336795,0.007485709338570751,2.212698117e-314,0.0,-56.50093367923175,-93.16041933119895,36.659485651967216
Netherlands,0.0003450337302056035,0.0012561044797506497,0.0006609131490203065,0.0023128337589020586,2.1298396285e-314,0.0,-72.53144656612511,-131.5114018389359,58.979955272810805
Norway,0.0008118668965233362,0.0012511841430379394,0.002095297334842842,0.0032162840961194334,2.2126985203e-314,0.0,-35.11211750557502,-89.59406714944275,54.48194964386772
Portugal,0.0016134267130591714,0.001663875034479318,0.0017158996493586579,0.0027220870538751424,2.1298396285e-314,0.0,-3.0319777852748158,-60.4725345152711,57.44055672999628
ROW,0.0016489015150205383,0.001630696638621431,0.0023901928677270605,0.00241277950515461,2.1298396285e-314,0.0,1.116386455208339,-1.3850913096039599,2.5014777648122988
South Korea,0.0008475958260953651,0.0008613303735435035,0.0007932323282666219,0.0008773445144547458,2.1298396285e-314,0.0,-1.5945736815984606,-9.765380250331502,8.170806568733042
Spain,0.0002412647639041102,0.001236663511098221,0.00025333872211551087,0.0007951128322733379,2.1298396285e-314,0.0,-80.49067011851473,-43.809339023571866,-36.68133109494286
Sweden,0.00034585170152377976,0.0005927128694176122,0.0005309169939030094,0.0006920970393324708,2.2126986547e-314,0.0,-41.64936862875835,-27.193613256252345,-14.455755372506006
United Kingdom,0.00023875902567929182,0.0006018433473110927,0.0001830901114839957,0.0003609316018494939,2.212702283e-314,0.0,-60.32870899944045,-29.549465182269756,-30.779243817170695
United States,0.00026300373767206556,0.0002661841675605107,0.0003593484270586597,0.00033777760025132433,0.0,0.0,-1.1948230871853556,8.103722698846,-9.298545786031355
