country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0009059156606305936,0.0009238288412605833,0.001048080727354031,0.0010536963935892703,5.401050139e-314,0.0,-1.9390150891529692,-0.6078686856730563,-1.3311464034799128
Austria,0.0005919416221154577,0.0009733727810635971,0.0006945311201974085,0.001813183520524349,5.385415744e-314,0.0,-39.18654459716373,-114.92538337722956,75.73883878006583
Belgium and Luxembourg,0.000961547442309027,0.0029637696992463364,0.0011211298076713643,0.004335952609412577,2.5570236356e-314,0.0,-67.5566072980117,-108.47073585234095,40.91412855432926
Canada,0.0005900680897889672,0.0021781293195944564,0.0010700762923129509,0.0032682102319881875,5.401041981e-314,0.0,-72.90940971774664,-100.91843123825655,28.009021520509908
China,0.00621817799090738,0.006154224372298926,0.0070099051736695825,0.006981513493782331,5.3803411207e-314,0.0,1.0391824337168871,0.46133644419996594,0.5778459895169211
Colombia,0.0011052262230011876,0.0019555384433496913,0.002505081615434945,0.0037783440984671835,5.4010503605e-314,0.0,-43.48225539826169,-65.11058309092789,21.62832769266621
Denmark,0.00043437929506324276,0.0019284130875718273,0.00048108747772012664,0.0012870742528758837,2.228797424e-314,0.0,-77.47477976255627,-41.795338371750006,-35.67944139080626
Finland,0.0006398405518800087,0.0009970607489832204,0.0010004217882174774,0.0016640412047292173,2.2287974715e-314,0.0,-35.82732521238015,-66.55757105958524,30.730245847205104
France,0.0001964309290249083,0.0002627228831556627,0.00025925476159953414,0.00018970780374847886,2.2287976375e-314,0.0,-25.232653255969556,26.471602707651797,-51.70425596362134
Germany,0.0002419240950611587,0.0005198979284125175,0.0004305360745595468,0.0006858315605939319,5.4010505503e-314,0.0,-53.4670015324235,-49.10492465586796,-4.362076876555545
Greece,0.00029214540580423055,0.0003815786091770387,0.0004419454109361958,0.000407887987011596,5.4010506767e-314,0.0,-23.437687863502426,8.925401766637911,-32.36308963014034
India,0.00101671459268702,0.0012176941691340497,0.0008639250008188354,0.0009381995276883845,5.4010507716e-314,0.0,-16.50493051058577,-6.09960437951088,-10.40532613107489
Ireland,0.000973763495107877,0.002598216068475862,0.002052839363099576,0.0038174553675993047,2.2287973767e-314,0.0,-62.52184308601033,-67.91644566861866,5.394602582608335
Italy,0.00019048035856896866,0.0002630751762251114,0.0001841946842076133,0.0001268011595021974,5.382635957e-314,0.0,-27.594704562327813,21.816396943626753,-49.41110150595457
Japan,0.00030039758088999305,0.0003043769408698297,0.00022300795384931887,0.00019870976544204418,1.5637e-319,0.0,-1.3073789257703612,7.982926807082303,-9.290305732852666
Mexico,0.0010591815767883146,0.002432450954613265,0.0052277243920870785,0.007482643546163914,5.0e-324,0.0,-56.456200081669735,-92.70152599789397,36.245325916224246
Netherlands,0.00034139898034075234,0.0012618855967824279,0.0006609387915819732,0.0023143521735962,5.401050803e-314,0.0,-72.94533028895363,-131.02720137468256,58.08187108572895
Norway,0.0008500805551450243,0.0012542570850153385,0.0020953353402334484,0.0032260383085057345,2.5570236356e-314,0.0,-32.224376860137205,-90.14921914979324,57.924842289656034
Portugal,0.0015698893692293562,0.0016740660688586062,0.0017145972155907813,0.0027178828615907705,5.3993786795e-314,0.0,-6.222974204374064,-59.93106632189485,53.708092117520785
ROW,0.0016526832958232635,0.0016301894378286073,0.0023901328133288085,0.0024139511204245723,5.3993786954e-314,0.0,1.3798309247186462,-1.4610760285313558,2.8409069532500153
South Korea,0.0008484928693283681,0.000863260682425186,0.0007929356846193133,0.0008769545542403477,5.37326418e-314,0.0,-1.7107014598800228,-9.73273442559639,8.022032965716367
Spain,0.00024087235034102767,0.001238095508741312,0.0002532962607578954,0.00079496797968617,5.0e-324,0.0,-80.54492980223259,-43.75039850350121,-36.794531298731386
Sweden,0.00034547464367497857,0.0005915364258381769,0.0005306163426548334,0.0006907377585995399,1.5637e-319,0.0,-41.597063412374204,-27.068733040035987,-14.528330372338218
United Kingdom,0.00023759130499389223,0.0006014027145344197,0.00018309746953379028,0.0003607417992222112,2.228797661e-314,0.0,-60.49380901484203,-29.538331869011525,-30.955477145830496
United States,0.0002610396809606248,0.0002660412416590101,0.00035935980421323427,0.0003377265039595694,2.219409489e-314,0.0,-1.8799944952880114,8.131558896192749,-10.011553391480758
