country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,trade_barriers,diversification,specialization
Australia,0.000901942775696,0.000922506144756,0.00104803084019,0.001053587848003,-2.22907664910862,-0.602381658357782,-1.62669499075084
Austria,0.000537635959177,0.000948228793949,0.00069440379141,0.001809665290992,-43.3010300248674,-117.61523238896,74.3142023640924
Belgium and Luxembourg,0.00102264424094,0.003014133747278,0.00112084730178,0.004335936362543,-66.0717032924249,-106.667100080327,40.5953967879019
Canada,0.000593783644813,0.002192824804059,0.00107087725824,0.003269826178742,-72.9215191421559,-100.279279787029,27.3577606448732
China,0.006239774317195,0.006155142413154,0.007010221722551,0.006981666879466,1.37497881217967,0.463918479351593,0.911060332828081
Colombia,0.001101059367104,0.001954030477196,0.002506447083638,0.003778584881929,-43.6518836346905,-65.1032731135367,21.4513894788461
Denmark,0.000442946465664,0.002009248413984,0.000480901143154,0.001287403676397,-77.954619121192,-40.1395132443504,-37.8151058768415
Finland,0.000618587046923,0.000996266875389,0.00100047597326,0.001663900612578,-37.9095037480033,-66.5910566442343,28.681552896231
France,0.00019580945372,0.000262782583831,0.000259324378637,0.000189734643259,-25.4861372980626,26.4818673913442,-51.9680046894068
Germany,0.00024314544262,0.00052116797696,0.000430856830696,0.000686005587733,-53.3460509147322,-48.9571056390617,-4.38894527567055
Greece,0.000299020437898,0.000382989029137,0.000441925663269,0.000407885744884,-21.9245421802567,8.88796174184878,-30.8125039221055
India,0.001020008558809,0.001217111577111,0.000864048013052,0.000938025527107,-16.1943261413636,-6.07812097479604,-10.1162051665676
Ireland,0.001047578172297,0.002554804588061,0.002053221214635,0.003817008664529,-58.9957612729845,-69.0380570841368,10.0422958111523
Italy,0.000190296896478,0.000263198563488,0.000184265663613,0.000126776988546,-27.6983529254683,21.8423209858716,-49.5406739113399
Japan,0.000295994717055,0.000305358821735,0.000223180851716,0.000198772137679,-3.06659052034836,7.99345304590116,-11.0600435662495
Mexico,0.001050249961057,0.002429502228077,0.005228868108349,0.007485124260942,-56.7709817706892,-92.8690711421662,36.098089371477
Netherlands,0.000336490537215,0.001241481223508,0.000661532666296,0.002315652865271,-72.8960429812513,-133.237633212126,60.3415902308745
Norway,0.000840733434693,0.001256393645754,0.002095221222143,0.003226162153494,-33.0835970451012,-90.0148560263942,56.931258981293
Portugal,0.001561708174025,0.001664499204642,0.001715451462262,0.002719745473594,-6.17549292483395,-60.3361064115459,54.1606134867119
ROW,0.001649807045623,0.001631323472273,0.00238995755382,0.002414015906191,1.13304158640999,-1.47477510005261,2.60781668646261
South Korea,0.000852855663416,0.000863846876239,0.000792890681852,0.000877294318542,-1.27235660919126,-9.77067105419964,8.49831444500838
Spain,0.000241604222762,0.001237539718996,0.000253294586926,0.000795073121127,-80.4770530551078,-43.778678444419,-36.6983746106888
Sweden,0.000346159381,0.000592327952993,0.000530996037515,0.000691129586373,-41.5595061400032,-27.0346094673786,-14.5248966726246
United Kingdom,0.000236407675674,0.000600182168414,0.000183170833737,0.000360931349789,-60.6106798709909,-29.6177603079941,-30.9929195629968
United States,0.000261762573356,0.000266192095183,0.000359518686928,0.000337773188841,-1.66403206812752,8.16909986442042,-9.83313193254795
