country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0010563839340589885,0.001089603360719048,0.0010097083518582717,0.001027352949425623,2.215049403e-314,2.2150502254e-314,-3.0487632341861852,-1.6193596866025957,-1.4294035475835896
Austria,0.00037663654497799184,0.0006197088219720845,0.0004021275557425953,0.0009390056741751023,3.1323513886e-314,3.132352416e-314,-39.22362702866963,-86.63393183979738,47.41030481112776
Belgium and Luxembourg,0.0004843909897934254,0.0016209226453360065,0.000510142771628722,0.0022747442954911866,2.5752773454e-314,2.5752773454e-314,-70.1163413820396,-108.86401821455671,38.74767683251712
Canada,0.00032444395123364496,0.001114408244125189,0.0004422985828709316,0.0016966755497361677,2.21504934e-314,2.2150501937e-314,-70.8864365510564,-112.55991450870167,41.673477957645254
China,0.008244081572764312,0.008031451741813654,0.00929854955115342,0.009198139664777427,2.2048241574e-314,2.204824442e-314,2.6474644657784125,1.250208425622915,1.3972560401554979
Colombia,0.0010081341266126348,0.0014036208010068344,0.0017468332376663568,0.002408466286155506,2.215049498e-314,2.215050352e-314,-28.17617650796512,-47.13759214843153,18.96141564046639
Denmark,0.00040498775999449983,0.0016358839787989643,0.0004565379889215062,0.0006269774633853998,2.2058710153e-314,2.20587194e-314,-75.24349127180558,-10.418799662615877,-64.8246916091897
Finland,0.00050047361835408,0.0007400820236860671,0.0005891733032532715,0.000991069178565538,2.205871039e-314,2.20587213e-314,-32.37592559519129,-54.304234186175215,21.92830859098392
France,0.00020762154215502916,0.0002871457647318512,0.00023111213900691593,0.00016822803257194888,2.2058710627e-314,2.205872201e-314,-27.69472245257913,21.899715809387217,-49.59443826196635
Germany,0.0002213642002948025,0.0003896703466066637,0.00028400906378827723,0.00040183722216464475,2.215049656e-314,2.2150504783e-314,-43.19193076340262,-30.23790734974868,-12.954023413653937
Greece,0.00046617132824278547,0.0006132715804661782,0.00042443107436197547,0.0004333729168298692,2.215049688e-314,2.21505051e-314,-23.98615179780132,-1.4580559009593412,-22.528095896841975
India,0.0012905216848361294,0.0014398384983442612,0.0011418101999480933,0.0012159114171306565,2.2150497194e-314,2.2150505416e-314,-10.370386239834417,-5.146495059534504,-5.223891180299914
Ireland,0.00068391280467347,0.0013189494338590037,0.0010358818666112355,0.0017264992269416359,2.205869521e-314,2.205871608e-314,-48.14715506776733,-52.36117038314205,4.214015315374739
Italy,0.0002206904782966726,0.00029796524204613446,0.00017806713657684764,0.00012167023965522721,3.1335594384e-314,3.1335594384e-314,-25.93415366799638,18.927340831548534,-44.86149449954492
Japan,0.00036940480077877574,0.00037568035986247135,0.0002579257766651993,0.00023471157176817734,1.5637e-319,1.5637e-319,-1.670451733487732,6.179243680856836,-7.849695414344568
Mexico,0.0009313417017425963,0.0018180824641163427,0.0031631180074606882,0.004955584071456106,1.0e-323,1.0e-323,-48.773407140513626,-98.5910210000636,49.81761385954997
Netherlands,0.00021135608145808022,0.0007989098661024363,0.00024018598174404388,0.0012712733630111765,2.215049751e-314,2.215050573e-314,-73.54443968889726,-129.06179094988502,55.51735126098776
Norway,0.0006768856541929273,0.0008425353115966698,0.0011984405104526787,0.0019009246907543543,2.5752773454e-314,2.5752773454e-314,-19.660856361002082,-83.3774170213013,63.71656066029922
Portugal,0.0016184626446747276,0.0015604714145026554,0.0017023633938354954,0.002126419605064622,2.1957030573e-314,2.1957034526e-314,3.7162635363336576,-27.17487851991698,30.89114205625064
ROW,0.0017261498035371521,0.001705482283683377,0.0024227226291195668,0.002439538854124071,2.195703089e-314,2.1957034684e-314,1.2118284693722452,-0.9860099495250071,2.1978384188972395
South Korea,0.0009763956382878338,0.0009512350993992577,0.0007982394118021475,0.0007787981744954109,3.123272114e-314,3.123272217e-314,2.645038950356854,2.0437888928840495,0.6012500574728048
Spain,0.00019141150634600067,0.0009062643905178733,0.00024036606780671776,0.0004983837500589601,5.0e-324,5.0e-324,-78.87906571760797,-28.470464574339214,-50.40860114326876
Sweden,0.00029026684842523574,0.000463818634563444,0.0003829919566450014,0.0004216867716068964,1.5637e-319,1.5637e-319,-37.41802791118104,-8.342660703642355,-29.075367207538687
United Kingdom,0.00028243053259328134,0.000551451232861315,0.00022378494458881538,0.0003007871148873375,2.2058710864e-314,2.2058724145e-314,-48.78413252830462,-13.963550303257273,-34.82058222504736
United States,0.0003710139327698629,0.0003756643117954872,0.0003994137389751587,0.00037601316430503325,2.201035164e-314,2.201035164e-314,-1.2379081215880898,6.229118373870133,-7.467026495458223
